resort_id,source,source_id
b3bd4577-6d85-48c5-a8e6-4fa6f812beef,indy,turpin-meadow-ranch
9a4a04e7-d672-47d0-8004-5aefc40581d4,indy,tussey-mountain
5e7e1fb6-441d-4aa4-8755-4fa7697aef3a,indy,tyrol-basin-ski-and-snowboard
d811c580-0006-4e87-af34-c3d7ee4d2d66,indy,val-direne
b7c0f4bf-2cde-40ea-95ff-7c4b2b21bd20,indy,valmorel-ski-resort
1a3588d7-1831-4499-b801-869f6c9a20a1,indy,washigatake-ski-resort
8041dc3b-79ab-4dcb-8d08-035e0427a5ac,indy,waterville-valley-resort
9e695153-8885-4b91-95a5-536da6090125,indy,west-mountain
e3764c07-a22f-4211-96fe-cb5c5c6bb1cd,indy,whaleback-mountain
c6295ff3-3315-4430-8d62-48d6a62142aa,indy,white-grass-ski-touring
116a5581-6ccb-46c0-9e53-82ab2629f5ad,indy,white-pass
f5a7f48a-2473-43d1-bdf1-6bd93f9accac,indy,white-pine-resort
80fcb811-f5c8-44f0-ab77-be0d3d7ea933,indy,white-pine-touring-nordic-center
56c4c0ea-05be-4f0f-88e1-5e695f53af6c,indy,whitehorse-nordic-centre
da56154f-1fb1-46db-8626-f3ef40fe29bc,indy,whitepia-takasu
a33bce3a-4b68-4838-b1c3-baf1d335f46b,indy,williams-lake-cross-country-ski-club
aeee3cb0-2533-440a-947f-53cf18289172,indy,wintergreen
652a014f-dfe0-4fe3-b26b-252c4e95d12f,indy,winterplace-ski-resort
2ad2bd80-d09e-459f-92c4-d3318eddb7e8,indy,wisp
a9356c7c-b010-46e4-a790-544daad6708d,indy,woodstock-nordic-center
ab43f6d7-24a2-4c9e-872e-bb92eb5459f8,indy,yuzawa-nakazato-snow-resort
62097126-afc6-4a54-80f0-606d896b4d62,indy,camp-10-ski-area
83e6f6fb-a0c0-40bc-99c1-7ce734f92243,indy,carters-xc-ski-center
451d6b1f-9565-4117-bafe-0cd77050bc57,indy,coffee-mill-ski-area
439bd26a-57c0-4045-82e0-7e1d7ecc8b44,indy,domaine-skiable-des-contamines
b6749796-0527-45f3-9809-19be011ebe29,indy,north-cascade-heli
b862079f-228b-4506-b309-a0ff565b6f85,indy,onikoube-ski-resort
a66ca6eb-fd19-44ac-bbd6-da5a62a4ae55,indy,pizol
0a331e49-0084-424e-99f8-b57328805376,indy,whitecap-mountains-resort
